,Real_value,predicted_value,profit,amount_total
0,368.1,377.1917,0.0,0.0
1,369.71,377.2151,8.747622928551664,2008.7476229285517
2,376.1,377.67514,34.718826405868185,2043.4664493344198
3,380.59,379.14352,24.39554468894312,2067.861994023363
4,377.85,380.86194,-14.887258897038464,2052.9747351263245
5,378.89,382.05054,5.650638413474553,2058.625373539799
6,378.69,383.06592,-1.0866612333602461,2057.538712306439
7,380.59,384.10352,10.323281716924612,2067.8619940233634
8,376.72,384.92752,-21.02689486552549,2046.835099157838
9,378.34,384.92633,8.801955990219767,2055.6370551480577
10,381.11,385.35892,15.050258082043001,2070.6873132301007
11,384.49,386.52484,18.364574843792525,2089.051888073893
12,382.25,387.72626,-12.170605813637849,2076.8812822602554
13,383.67,388.45474,7.715294756859748,2084.596577017115
14,385.41,389.15802,9.453952730236324,2094.0505297473514
15,380.22,389.94754,-28.19885900570489,2065.8516707416466
16,376.36,388.9971,-20.972561803857616,2044.879108937789
17,375.63,388.48004,-3.9663135017660807,2040.9127954360229
18,373.72,386.81417999999996,-10.377614778592488,2030.5351806574304
19,379.65,385.89844,32.21950556913862,2062.754686226569
20,382.435,386.14572000000004,15.131757674545042,2077.886443901114
21,382.96,386.61093,2.852485737570987,2080.738929638685
22,388.2,387.58157,28.47052431404518,2109.20945395273
23,389.27,389.00116,5.8136375984786355,2115.023091551209
24,389.61,390.666,1.847324096713237,2116.870415647922
25,392.12,392.1652,13.637598478674136,2130.508014126596
26,391.24,393.53857,-4.781309426786265,2125.72670469981
27,389.85,394.74512000000004,-7.552295571855211,2118.1744091279547
28,393.96,395.96887000000004,22.330888345557923,2140.5052974735127
29,390.42,397.20300000000003,-19.233903830480813,2121.271393643032
30,389.59,397.9722,-4.509644118446431,2116.7617495245854
31,392.07,398.34177,13.474599293670508,2130.236348818256
32,387.06,398.73285,-27.220863895680395,2103.0154849225755
33,384.66,398.38452,-13.039934800325682,2089.97555012225
34,386.33,397.76746,9.073621298559829,2099.0491714208097
35,390.41,397.8858,22.167889160554296,2121.217060581364
36,384.35,397.09506,-32.92583537082328,2088.2912252105407
37,385.59,395.7251,6.737299646834799,2095.0285248573755
38,389.82,395.60803,22.982885085574708,2118.01140994295
39,385.79,395.50723,-21.896223852214007,2096.115186090736
40,381.22,394.56203999999997,-24.83020918228749,2071.2849769084487
41,380.46,392.79785,-4.129312686769936,2067.1556642216788
42,384.66,391.91837000000004,22.819885900570625,2089.9755501222494
43,385.85,391.53186,6.465634338494965,2096.4411844607444
44,389.69,391.78595,20.863895680521637,2117.305080141266
45,392.23,392.66898,13.800597663678673,2131.1056778049447
46,392.07,394.15463,-0.8693289866887426,2130.236348818256
47,394.33,395.46527000000003,12.2792719369736,2142.5156207552295
48,397.07,397.04654,14.887258897038919,2157.4028796522684
49,394.53,398.6212,-13.800597663678218,2143.60228198859
50,394.475,399.9651,-0.29883183917399947,2143.303450149416
51,389.88,400.51385,-24.966041836457407,2118.337408312959
52,390.03,400.41033999999996,0.814995925020412,2119.152404237979
53,391.91,400.73073999999997,10.21461559358886,2129.367019831568
54,391.0,400.6723,-4.944308611790348,2124.4227112197777
55,385.98,400.32333,-27.27519695734827,2097.1475142624295
56,390.93,399.8033,26.89486552567223,2124.0423797881017
57,394.4,400.43405,18.853572398804317,2142.895952186906
58,394.42,401.11163,0.10866612333620651,2143.004618310242
59,395.34,401.57592999999997,4.998641673457769,2148.0032599837
60,398.4,402.30093,16.62591687041595,2164.629176854116
61,403.46,403.53533999999996,27.492529204020684,2192.1217060581366
62,405.76,405.57608,12.496604183645559,2204.618310241782
